id,text,category,subcategory,entity,entity_id,province,province_legacy,district,ward,street,address,sentence_type,template_id,variation,name_variant,number_style,register,source,seed_cell
7d5cc1a0aaa2f859,"mình đang đứng ở đây, gần một trăm tám mươi sáu ngách tám mươi ba ngõ ba trăm hai mươi tư đường Phương Canh ở thành phố Hà Nội không ta",address,house_address,một trăm tám mươi sáu ngách tám mươi ba ngõ ba trăm hai mươi tư đường Phương Canh ở thành phố Hà Nội,osm_street_way_1138572605,Hà Nội,,,,Ngách 83 Ngõ 324 Đường Phương Canh,186 Ngách 83 Ngõ 324 Đường Phương Canh,contextual,contextual_casual_long_008,current+cardinal+prefix+casual,current,cardinal,casual,osm,01|address|contextual|casual_long
776dec4f9632a39e,gần số một trăm chín mươi chín xuyệt chín mươi tư ngõ một trăm mười tám Đê Tả Hồng ở thủ đô lắm không,address,house_address,số một trăm chín mươi chín xuyệt chín mươi tư ngõ một trăm mười tám Đê Tả Hồng ở thủ đô,osm_street_way_1038696370,Hà Nội,,,,Ngõ 118 Đê Tả Hồng,199/94 Ngõ 118 Đê Tả Hồng,contextual,contextual_casual_short_009,spoken_alias+cardinal+prefix+casual,spoken_alias,cardinal,casual,osm,01|address|contextual|casual_short
0fb9304a3754424e,xin hỏi khu vực này gần số một tám ba ngách hai một xuyệt bốn phố Thanh Am ở thủ đô không,address,house_address,số một tám ba ngách hai một xuyệt bốn phố Thanh Am ở thủ đô,osm_street_way_36727835,Hà Nội,,,,Ngách 21/4 Phố Thanh Am,183 Ngách 21/4 Phố Thanh Am,contextual,contextual_formal_medium_005,spoken_alias+digit_by_digit+prefix+formal,spoken_alias,digit_by_digit,formal,osm,01|address|contextual|formal_medium
bf898419bce0bc94,chỗ này có gần một trăm ba mươi tư đường Bắc Thăng Long - Hải Bối ở thành phố Hà Nội không,address,house_address,một trăm ba mươi tư đường Bắc Thăng Long - Hải Bối ở thành phố Hà Nội,osm_street_way_48115472,Hà Nội,,,,Đường Bắc Thăng Long - Hải Bối,134 Đường Bắc Thăng Long - Hải Bối,contextual,contextual_neutral_medium_001,current+cardinal+prefix+neutral,current,cardinal,neutral,osm,01|address|contextual|neutral_medium
ef758c95ede40000,số hai bảy chín ngách sáu bốn không xuyệt bốn mươi ba đường Nguyễn Văn Cừ ở thành phố Hà Nội gần đây không,address,house_address,số hai bảy chín ngách sáu bốn không xuyệt bốn mươi ba đường Nguyễn Văn Cừ ở thành phố Hà Nội,osm_street_way_602349617,Hà Nội,,,,Ngách 640/43 Đường Nguyễn Văn Cừ,279 Ngách 640/43 Đường Nguyễn Văn Cừ,contextual,contextual_neutral_short_003,current+mixed+prefix+neutral,current,mixed,neutral,osm,01|address|contextual|neutral_short
f1e7a47a11980a8e,"ơ mình đang cần gấp, ai biết đường đến hai chín bảy đường Đại Việt ở thành phố Hà Nội chỉ mình với",address,house_address,hai chín bảy đường Đại Việt ở thành phố Hà Nội,osm_street_way_776941613,Hà Nội,,,,Đường Đại Việt,297 Đường Đại Việt,conversational,conversational_casual_long_006,current+digit_by_digit+prefix+casual,current,digit_by_digit,casual,osm,01|address|conversational|casual_long
fad3a8d57b91b8ee,đường tới số mười sáu ép ngõ hai đường Kim Ngọc ở thành phố Hà Nội sao,address,house_address,số mười sáu ép ngõ hai đường Kim Ngọc ở thành phố Hà Nội,osm_street_way_599089378,Hà Nội,,,,Ngõ 2 Đường Kim Ngọc,16F Ngõ 2 Đường Kim Ngọc,conversational,conversational_casual_short_009,current+cardinal+prefix+casual,current,cardinal,casual,osm,01|address|conversational|casual_short
0bdbd69cba255ecd,tôi đang cần hỏi đường đến một trăm chín mươi mốt ngõ mười chín phố Tây Trà ở thành phố Hà Nội xin cảm ơn,address,house_address,một trăm chín mươi mốt ngõ mười chín phố Tây Trà ở thành phố Hà Nội,osm_street_way_602000728,Hà Nội,,,,Ngõ 19 Phố Tây Trà,191 Ngõ 19 Phố Tây Trà,conversational,conversational_formal_medium_003,current+cardinal+prefix+formal,current,cardinal,formal,osm,01|address|conversational|formal_medium
58080cb144dbaba9,cho tôi xin đường đi số chín mươi tư ngõ một trăm lẻ năm phố Hoàng Liên ở tỉnh Hà Tây với,address,house_address,số chín mươi tư ngõ một trăm lẻ năm phố Hoàng Liên ở tỉnh Hà Tây,osm_street_way_420953928,Hà Nội,,,,Ngõ 105 Phố Hoàng Liên,94 Ngõ 105 Phố Hoàng Liên,conversational,conversational_neutral_medium_008,spoken_alias+cardinal+prefix+neutral,spoken_alias,cardinal,neutral,osm,01|address|conversational|neutral_medium
2c5d85eaa069a161,tôi đang hỏi đường tới số bảy mươi bảy a ngách ba mươi lăm ngõ một trăm bốn mươi mốt Nam Dư ở thành phố Hà Nội,address,house_address,số bảy mươi bảy a ngách ba mươi lăm ngõ một trăm bốn mươi mốt Nam Dư ở thành phố Hà Nội,osm_street_way_1493007369,Hà Nội,,,,Ngách 35 Ngõ 141 Nam Dư,77A Ngách 35 Ngõ 141 Nam Dư,conversational,conversational_neutral_medium_010,current+cardinal+prefix+neutral,current,cardinal,neutral,osm,01|address|conversational|neutral_medium
