id,text,category,subcategory,entity,entity_id,province,province_legacy,district,ward,street,address,sentence_type,template_id,variation,name_variant,number_style,register,source,seed_cell
7d5cc1a0aaa2f859,ê xung quanh số một không một ngách tám ba ngõ ba hai bốn đường Phương Canh có khách sạn nào không vậy,address,house_address,số một không một ngách tám ba ngõ ba hai bốn đường Phương Canh,osm_street_way_1138572605,Hà Nội,,,,Ngách 83 Ngõ 324 Đường Phương Canh,101 Ngách 83 Ngõ 324 Đường Phương Canh,contextual,contextual_casual_long_010,current+digit_by_digit+prefix+casual,current,digit_by_digit,casual,osm,01|address|contextual|casual_long
851ce946d68c9c68,"à thế chỗ này có gần hai trăm năm mươi mốt ngõ tám mươi tám phố Giáp Nhị không ta, hay là xa lắm đi",address,house_address,hai trăm năm mươi mốt ngõ tám mươi tám phố Giáp Nhị,osm_street_way_28192833,Hà Nội,,,,Ngõ 88 Phố Giáp Nhị,251 Ngõ 88 Phố Giáp Nhị,contextual,contextual_casual_long_001,current+cardinal+prefix+casual,current,cardinal,casual,osm,01|address|contextual|casual_long
07866e9104098707,ê chỗ mình đứng đây gần bảy mươi lăm xuyệt ba ngõ chín mươi đường Ỷ Lan ở thành phố Hà Nội không ta,address,house_address,bảy mươi lăm xuyệt ba ngõ chín mươi đường Ỷ Lan ở thành phố Hà Nội,osm_street_way_602796195,Hà Nội,,,,Ngõ 90 đường Ỷ Lan,75/3 Ngõ 90 đường Ỷ Lan,contextual,contextual_casual_long_005,current+mixed+prefix+casual,current,mixed,casual,osm,01|address|contextual|casual_long
b110ba6643a819a2,ê xung quanh số mười sáu Nguyễn Văn Trỗi ở thành phố Hà Nội có bệnh viện nào không vậy,address,house_address,số mười sáu Nguyễn Văn Trỗi ở thành phố Hà Nội,osm_street_way_180131805,Hà Nội,,,,Đường Nguyễn Văn Trỗi,16 Đường Nguyễn Văn Trỗi,contextual,contextual_casual_long_010,current+cardinal+no_prefix+casual,current,cardinal,casual,osm,01|address|contextual|casual_long
776dec4f9632a39e,chỗ này gần hai hai không ngõ một một tám Đê Tả Hồng ở thành phố Hà Nội hông,address,house_address,hai hai không ngõ một một tám Đê Tả Hồng ở thành phố Hà Nội,osm_street_way_1038696370,Hà Nội,,,,Ngõ 118 Đê Tả Hồng,220 Ngõ 118 Đê Tả Hồng,contextual,contextual_casual_short_004,current+digit_by_digit+prefix+casual,current,digit_by_digit,casual,osm,01|address|contextual|casual_short
f816505ac6ef0bb5,số một trăm chín mươi chín xuyệt chín mươi tư Hải Lựu ở thành phố Hà Nội gần hông,address,house_address,số một trăm chín mươi chín xuyệt chín mươi tư Hải Lựu ở thành phố Hà Nội,osm_street_way_297167152,Hà Nội,,,,Phố Hải Lựu,199/94 Phố Hải Lựu,contextual,contextual_casual_short_002,current+cardinal+no_prefix+casual,current,cardinal,casual,osm,01|address|contextual|casual_short
6ef7849810be3757,một bảy không xuyệt sáu sáu ngõ hai đường Đào Xuyên ở thành phố Hà Nội xa hông,address,house_address,một bảy không xuyệt sáu sáu ngõ hai đường Đào Xuyên ở thành phố Hà Nội,osm_street_way_244378946,Hà Nội,,,,Ngõ 2 Đường Đào Xuyên,170/66 Ngõ 2 Đường Đào Xuyên,contextual,contextual_casual_short_005,current+digit_by_digit+prefix+casual,current,digit_by_digit,casual,osm,01|address|contextual|casual_short
8b84097ae228cd2d,số hai năm tám xuyệt bốn không Ngụy Như Kon Tum ở thành phố Hà Nội gần hông,address,house_address,số hai năm tám xuyệt bốn không Ngụy Như Kon Tum ở thành phố Hà Nội,osm_street_way_37877167,Hà Nội,,,,Phố Ngụy Như Kon Tum,258/40 Phố Ngụy Như Kon Tum,contextual,contextual_casual_short_002,current+digit_by_digit+no_prefix+casual,current,digit_by_digit,casual,osm,01|address|contextual|casual_short
86d6368f794c288a,số hai mươi ngách sáu xuyệt mười bảy ở thành phố Hà Nội kế bên không,address,house_address,số hai mươi ngách sáu xuyệt mười bảy ở thành phố Hà Nội,osm_street_way_1427331755,Hà Nội,,,,Ngách 6/17,20 Ngách 6/17,contextual,contextual_casual_short_008,current+cardinal+prefix+casual,current,cardinal,casual,osm,01|address|contextual|casual_short
d0b03af1ad26caf0,số hai trăm bốn mươi ba ngõ một trăm năm mươi hai Thụy Khuê ở thủ đô gần hông,address,house_address,số hai trăm bốn mươi ba ngõ một trăm năm mươi hai Thụy Khuê ở thủ đô,osm_street_way_28844287,Hà Nội,,,,Ngõ 152 Thụy Khuê,243 Ngõ 152 Thụy Khuê,contextual,contextual_casual_short_002,spoken_alias+cardinal+prefix+casual,spoken_alias,cardinal,casual,osm,01|address|contextual|casual_short
